Restaurant Name,City,Address,Locality,Locality Verbose,Cuisines,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Rating color,Rating text
CafÌ© Daniel Briand,BrasÌ_lia,"SCLN 104, Bloco A, Loja 26, Asa Norte, BrasÌ_lia",Asa Norte,"Asa Norte, BrasÌ_lia",Cafe,Brazilian Real(R$),No,No,No,No,Yellow,Good
Casa do Biscoito Mineiro,BrasÌ_lia,"SCLN 210, Bloco D, Loja 36/48, Asa Norte, BrasÌ_lia",Asa Norte,"Asa Norte, BrasÌ_lia",Bakery,Brazilian Real(R$),No,No,No,No,Yellow,Good
Maori,BrasÌ_lia,"CLN 110, Bloco D, Loja 28, Asa Norte, BrasÌ_lia",Asa Norte,"Asa Norte, BrasÌ_lia",Brazilian,Brazilian Real(R$),No,No,No,No,Yellow,Good
Pizza ÌÊ Bessa,BrasÌ_lia,"SCS 214, Bloco C, Loja 40, Asa Sul, BrasÌ_lia",Asa Sul,"Asa Sul, BrasÌ_lia",Pizza,Brazilian Real(R$),No,No,No,No,Orange,Average
Sushi Loko,BrasÌ_lia,"SCS 213, Bloco C, Loja 35, Asa Sul, BrasÌ_lia",Asa Sul,"Asa Sul, BrasÌ_lia",Japanese,Brazilian Real(R$),No,No,No,No,Orange,Average
Beirute,BrasÌ_lia,"CLS 109, Bloco A, Loja 2/6, Asa Sul, BrasÌ_lia",Asa Sul,"Asa Sul, BrasÌ_lia",Arabian,Brazilian Real(R$),No,No,No,No,Yellow,Good
New Koto,BrasÌ_lia,"SCS 212, Bloco B, Loja 26, Asa Sul, BrasÌ_lia",Asa Sul,"Asa Sul, BrasÌ_lia",Japanese,Brazilian Real(R$),No,No,No,No,Yellow,Good
Sandubas CafÌ©,BrasÌ_lia,"EdifÌ_cio JosÌ© Severo, SCS 6, Bloco A, Loja 99, Asa Sul, BrasÌ_lia",Asa Sul,"Asa Sul, BrasÌ_lia","Brazilian, Cafe",Brazilian Real(R$),No,No,No,No,White,Not rated
Villa Tevere,BrasÌ_lia,"CLS 115, Bloco A, Loja 2, Asa Sul, BrasÌ_lia",Asa Sul,"Asa Sul, BrasÌ_lia",Italian,Brazilian Real(R$),No,No,No,No,Green,Very Good
Rovereto,BrasÌ_lia,"Rua 13 Norte, Lote 4, ÌÅguas Claras, BrasÌ_lia",ÌÅguas Claras,"ÌÅguas Claras, BrasÌ_lia",Pizza,Brazilian Real(R$),No,No,No,No,Orange,Average
Buena Carne,BrasÌ_lia,"Avenida AraucÌÁrias, 1325, Loja 19, ÌÅguas Claras, BrasÌ_lia",ÌÅguas Claras,"ÌÅguas Claras, BrasÌ_lia","Bar Food, Brazilian",Brazilian Real(R$),No,No,No,No,Yellow,Good
Taco Pep,BrasÌ_lia,"Vila Malls, Avenida das Castanheiras, Lote 1060, ÌÄguas Claras, BrasÌ_lia",ÌÅguas Claras,"ÌÅguas Claras, BrasÌ_lia","Mexican, Grill",Brazilian Real(R$),No,No,No,No,Green,Very Good
Coco Bambu,BrasÌ_lia,"BrasÌ_lia Shopping - Piso 2, SCN 5, Bloco A, Asa Norte, BrasÌ_lia","BrasÌ_lia Shopping, Asa Norte","BrasÌ_lia Shopping, Asa Norte, BrasÌ_lia",International,Brazilian Real(R$),No,No,No,No,Green,Very Good
TaypÌÁ,BrasÌ_lia,"Fashion Park, Shis Ql 17, Bloco G, Loja 208, Lago Sul, BrasÌ_lia",Lago Sul,"Lago Sul, BrasÌ_lia","Peruvian, Latin American",Brazilian Real(R$),No,No,No,No,Yellow,Good
Outback Steakhouse,BrasÌ_lia,"ParkShopping - Piso 2, SAI/SO, ÌÅrea 6580, GuarÌÁ I, BrasÌ_lia","ParkShopping, GuarÌÁ I","ParkShopping, GuarÌÁ I, BrasÌ_lia","American, Grill",Brazilian Real(R$),No,No,No,No,Green,Very Good
ManzuÌÁ,BrasÌ_lia,"PontÌ£o Lago Sul, SHIS 10, Lote 9, Lago Sul, BrasÌ_lia","PontÌ£o Lago Sul, Lago Sul","PontÌ£o Lago Sul, Lago Sul, BrasÌ_lia",Seafood,Brazilian Real(R$),No,No,No,No,Orange,Average
Coco Bambu,BrasÌ_lia,"SCES, Trecho 2, Conjunto 13/36, Setor de Clubes Esportivos Sul, BrasÌ_lia",Setor De Clubes Esportivos Sul,"Setor De Clubes Esportivos Sul, BrasÌ_lia",International,Brazilian Real(R$),No,No,No,No,Dark Green,Excellent
Gero,BrasÌ_lia,"Shopping Iguatemi - piso 1, SHIN CA 4, Lote A, Lago Norte, BrasÌ_lia","Shopping Iguatemi, Lago Norte","Shopping Iguatemi, Lago Norte, BrasÌ_lia",Italian,Brazilian Real(R$),No,No,No,No,Orange,Average
Brazilian American Burgers,BrasÌ_lia,"CLSN 301, Bloco C, Loja 86, Sudoeste, BrasÌ_lia",Sudoeste,"Sudoeste, BrasÌ_lia","American, Burger",Brazilian Real(R$),No,No,No,No,Yellow,Good
Pesqueiro Eco Gourmet,Rio de Janeiro,"Praia da Barra da Tijuca, Avenida LÌ_cio Costa, Ilha 25, Barra da Tijuca, Rio de Janeiro",Barra da Tijuca,"Barra da Tijuca, Rio de Janeiro","Seafood, Bar Food, Brazilian",Brazilian Real(R$),No,No,No,No,Green,Very Good
Confeitaria Colombo,Rio de Janeiro,"Rua GonÌ_alves Dias, 32, Centro, Rio de Janeiro",Centro,"Centro, Rio de Janeiro","Desserts, Cafe",Brazilian Real(R$),No,No,No,No,Dark Green,Excellent
Bibi,Rio de Janeiro,"Rua Santa Clara, 36, Copabana, Rio de Janeiro",Copacabana,"Copacabana, Rio de Janeiro","Juices, Healthy Food",Brazilian Real(R$),No,No,No,No,Dark Green,Excellent
Cervantes,Rio de Janeiro,"Avenida Prado Junior, 335 B, Copacabana, Rio de Janeiro",Copacabana,"Copacabana, Rio de Janeiro","Beverages, Bar Food, Fast Food",Brazilian Real(R$),No,No,No,No,Dark Green,Excellent
Amir,Rio de Janeiro,"Rua Ronald de Carvalho, 55, Copacabana, Rio de Janeiro",Copacabana,"Copacabana, Rio de Janeiro",Lebanese,Brazilian Real(R$),No,No,No,No,Green,Very Good
TT Burger,Rio de Janeiro,"Galeria River, Rua Francisco Otaviano, 67, Copacabana, Rio de Janeiro","Galeria River, Copacabana","Galeria River, Copacabana, Rio de Janeiro",Burger,Brazilian Real(R$),No,No,No,No,Dark Green,Excellent
Braseiro da GÌÁvea,Rio de Janeiro,"PraÌ_a Santos Dumont, 116, GÌÁvea, Rio de Janeiro",GÌÁvea,"GÌÁvea, Rio de Janeiro","Brazilian, Bar Food",Brazilian Real(R$),No,No,No,No,Dark Green,Excellent
Balada Mix,Rio de Janeiro,"Rua AnÌ_bal de MendonÌ_a, 37, Ipanema, Rio de Janeiro",Ipanema,"Ipanema, Rio de Janeiro","Brazilian, Healthy Food, Juices, Pizza",Brazilian Real(R$),No,No,No,No,Dark Green,Excellent
Garota de Ipanema,Rio de Janeiro,"Rua Vinicius de Moraes, 49, Ipanema, Rio de Janeiro",Ipanema,"Ipanema, Rio de Janeiro","Brazilian, Bar Food",Brazilian Real(R$),No,No,No,No,Dark Green,Excellent
ZazÌÁ BistrÌ« Tropical,Rio de Janeiro,"Rua Joana AngÌ©lica, 40, Ipanema, Rio de Janeiro",Ipanema,"Ipanema, Rio de Janeiro",Brazilian,Brazilian Real(R$),No,No,No,No,Dark Green,Excellent
FilÌ© de Ouro,Rio de Janeiro,"Rua Jardim BotÌ¢nico, 731, Jardim BotÌ¢nico, Lagoa, Rio de Janeiro",Lagoa,"Lagoa, Rio de Janeiro",Brazilian,Brazilian Real(R$),No,No,No,No,Green,Very Good
D.O.C Ristorante,Rio de Janeiro,"Le Monde, Bloco 3, Lojas A/B, Avenida das AmÌ©ricas, 3500, Barra da Tijuca, Rio de Janeiro","Le Monde, Barra da Tijuca","Le Monde, Barra da Tijuca, Rio de Janeiro",Italian,Brazilian Real(R$),No,No,No,No,Green,Very Good
Sushi Leblon,Rio de Janeiro,"Rua Dias Ferreira, 256, Leblon, Rio de Janeiro",Leblon,"Leblon, Rio de Janeiro",Japanese,Brazilian Real(R$),No,No,No,No,Dark Green,Excellent
Talho Capixaba,Rio de Janeiro,"Avenida Ataulfo de Paiva, 1022, Lojas A e B, Leblon, Rio de Janeiro",Leblon,"Leblon, Rio de Janeiro","Bakery, Sandwich, Brazilian",Brazilian Real(R$),No,No,No,No,Green,Very Good
Leme Light,Rio de Janeiro,"Rua Gustavo Sampaio, 798, Leme, Rio de Janeiro",Leme,"Leme, Rio de Janeiro",Brazilian,Brazilian Real(R$),No,No,No,No,Green,Very Good
Shirley,Rio de Janeiro,"Rua Gustavo Sampaio, 610, Leme, Rio de Janeiro",Leme,"Leme, Rio de Janeiro","Brazilian, Seafood",Brazilian Real(R$),No,No,No,No,Green,Very Good
Quiosque Chopp Brahma,Rio de Janeiro,"Madureira Shopping - Loja 289/290, Piso 2, Estrada do Portela, 222, Madureira, Rio de Janeiro, RJ",Madureira,"Madureira, Rio de Janeiro","Bar Food, Brazilian",Brazilian Real(R$),No,No,No,No,White,Not rated
AprazÌ_vel,Rio de Janeiro,"Rua AprazÌ_vel, 62, Santa Teresa, Rio de Janeiro",Santa Teresa,"Santa Teresa, Rio de Janeiro",Brazilian,Brazilian Real(R$),No,No,No,No,Dark Green,Excellent
Aconchego Carioca,Rio de Janeiro,"Rua BarÌ£o de Iguatemi, 379, Tijuca, Rio de Janeiro",Tijuca,"Tijuca, Rio de Janeiro","Brazilian, Bar Food",Brazilian Real(R$),No,No,No,No,Dark Green,Excellent
Garota de Ipanema,Rio de Janeiro,"Avenida JoÌ£o Alves, 56, Urca, Rio de Janeiro",Urca,"Urca, Rio de Janeiro","Brazilian, Bar Food",Brazilian Real(R$),No,No,No,No,Green,Very Good
Cantina Famiglia Mancini,SÌ£o Paulo,"Rua Avanhandava, 81, Bela Vista, SÌ£o Paulo 10000","Bela Vista, Centro","Bela Vista, Centro, SÌ£o Paulo","Italian, Pizza",Brazilian Real(R$),No,No,No,No,Dark Green,Excellent
Templo da Carne - Marcos Bassi,SÌ£o Paulo,"Rua Treze de Maio, 668, Bela Vista, SÌ£o Paulo 01327000","Bela Vista, Centro","Bela Vista, Centro, SÌ£o Paulo","Steak, BBQ",Brazilian Real(R$),No,No,No,No,Green,Very Good
Gopala Hari,SÌ£o Paulo,"Rua Antonio Carlos, 429, ConsolaÌ_Ì£o, SÌ£o Paulo",ConsolaÌ_Ì£o,"ConsolaÌ_Ì£o, SÌ£o Paulo",Indian,Brazilian Real(R$),No,No,No,No,Orange,Average
Jiquitaia,SÌ£o Paulo,"Rua AntÌ«nio Carlos, 268, ConsolaÌ_Ì£o, SÌ£o Paulo",ConsolaÌ_Ì£o,"ConsolaÌ_Ì£o, SÌ£o Paulo",Brazilian,Brazilian Real(R$),No,No,No,No,Green,Very Good
Skye - Hotel Unique,SÌ£o Paulo,"Hotel Unique, Avenida Brigadeiro LuÌ_s AntÌ«nio, 4700, Jardim Paulista, SÌ£o Paulo","Hotel Unique, Jardim Paulista","Hotel Unique, Jardim Paulista, SÌ£o Paulo","Beverages, International",Brazilian Real(R$),No,No,No,No,Dark Green,Excellent
Les 3 Brasseurs,SÌ£o Paulo,"Rua JesuÌ_no Arruda, 470, Itaim Bibi, SÌ£o Paulo",Itaim Bibi,"Itaim Bibi, SÌ£o Paulo","French, Brazilian, Beverages",Brazilian Real(R$),No,No,No,No,Dark Green,Excellent
Red Steak & Burger,SÌ£o Paulo,"Rua TabapuÌ£, 1417, Itaim Bibi, SÌ£o Paulo",Itaim Bibi,"Itaim Bibi, SÌ£o Paulo","Brazilian, Grill",Brazilian Real(R$),No,No,No,No,Yellow,Good
Cantinho da Gula,SÌ£o Paulo,"Rua Pedroso Alvarenga, 522, Itaim Bibi, SÌ£o Paulo, SP",Itaim Bibi,"Itaim Bibi, SÌ£o Paulo",Brazilian,Brazilian Real(R$),No,No,No,No,White,Not rated
Paris 6 Classique,SÌ£o Paulo,"Rua Haddock Lobo, 1240, Cerqueira CÌ©sar, Jardim Paulista, SÌ£o Paulo",Jardim Paulista,"Jardim Paulista, SÌ£o Paulo",French,Brazilian Real(R$),No,No,No,No,Orange,Average
Kawa Sushi,SÌ£o Paulo,"Alameda Lorena, 300, Jardim Paulista, SÌ£o Paulo",Jardim Paulista,"Jardim Paulista, SÌ£o Paulo","Sushi, Japanese",Brazilian Real(R$),No,No,No,No,Yellow,Good
A Figueira Rubaiyat,SÌ£o Paulo,"Rua Haddock Lobo, 1738, Cerqueira CÌ©sar, Jardim Paulista, SÌ£o Paulo 10000",Jardim Paulista,"Jardim Paulista, SÌ£o Paulo","BBQ, Grill, Brazilian",Brazilian Real(R$),No,No,No,No,Green,Very Good
Kinoshita,SÌ£o Paulo,"Rua Jacques FÌ©lix, 405, Vila Nova ConceiÌ_Ì£o, Moema, SÌ£o Paulo",Moema,"Moema, SÌ£o Paulo",Sushi,Brazilian Real(R$),No,No,No,No,Yellow,Good
Meats,SÌ£o Paulo,"Rua dos Pinheiros, 320, Pinheiros, SÌ£o Paulo",Pinheiros,"Pinheiros, SÌ£o Paulo","Gourmet Fast Food, Burger",Brazilian Real(R$),No,No,No,No,Green,Very Good
Paribar,SÌ£o Paulo,"PraÌ_a Dom JosÌ© Gaspar, 42, RepÌ_blica, SÌ£o Paulo 10000",RepÌ_blica,"RepÌ_blica, SÌ£o Paulo","Brazilian, Italian",Brazilian Real(R$),No,No,No,No,Green,Very Good
TerraÌ_o ItÌÁlia,SÌ£o Paulo,"EdifÌ_cio ItÌÁlia - 41å¡ Andar, Avenida Ipiranga, 344, RepÌ_blica, SÌ£o Paulo",RepÌ_blica,"RepÌ_blica, SÌ£o Paulo",Italian,Brazilian Real(R$),No,No,No,No,Green,Very Good
Divino FogÌ£o,SÌ£o Paulo,"Shopping MetrÌ« Santa Cruz - Piso L2, Rua Domingos de Morais, 2564, Vila Mariana, SÌ£o Paulo","Shopping MetrÌ« Santa Cruz, Vila Mariana","Shopping MetrÌ« Santa Cruz, Vila Mariana, SÌ£o Paulo","Brazilian, Mineira",Brazilian Real(R$),No,No,No,No,White,Not rated
Super Grill,SÌ£o Paulo,"Shopping Morumbi - Piso Lazer, Avenida Roque Petroni JÌ_nior, 1089, Santo Amaro, SÌ£o Paulo","Shopping Morumbi, Santo Amaro","Shopping Morumbi, Santo Amaro, SÌ£o Paulo",Brazilian,Brazilian Real(R$),No,No,No,No,White,Not rated
Esquina MocotÌ_,SÌ£o Paulo,"Avenida Nossa Senhora do Loreto, 1104, Vila Medeiros, Vila Maria, SÌ£o Paulo",Vila Maria,"Vila Maria, SÌ£o Paulo","Brazilian, North Eastern",Brazilian Real(R$),No,No,No,No,Green,Very Good
Veloso,SÌ£o Paulo,"Rua ConceiÌ_Ì£o Veloso, 56, Vila Mariana, SÌ£o Paulo",Vila Mariana,"Vila Mariana, SÌ£o Paulo","Brazilian, Bar Food, Beverages",Brazilian Real(R$),No,No,No,No,Dark Green,Excellent
Sainte Marie Gastronomia,SÌ£o Paulo,"Rua Dom JoÌ£o Batista da Costa, 70, Vila SÌ«nia, SÌ£o Paulo",Vila SÌ«nia,"Vila SÌ«nia, SÌ£o Paulo","Lebanese, Arabian",Brazilian Real(R$),No,No,No,No,Green,Very Good
Austin's BBQ and Oyster Bar,Albany,"2820 Meredyth Dr, Albany, GA 31707",Albany,"Albany, Albany","BBQ, Burger, Seafood",Dollar($),No,No,No,No,Orange,Average
BJ's Country Buffet,Albany,"2401 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany","American, BBQ",Dollar($),No,No,No,No,Orange,Average
Cookie Shoppe,Albany,"115 N Jackson St, Albany, GA 31701",Albany,"Albany, Albany",,Dollar($),No,No,No,No,Orange,Average
El Vaquero Mexican Restaurant,Albany,"2700 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany",Mexican,Dollar($),No,No,No,No,Orange,Average
Elements Coffee Co - Northwest,Albany,"2726 Ledo Rd Ste 10, Albany, GA 31707",Albany,"Albany, Albany","Coffee and Tea, Sandwich",Dollar($),No,No,No,No,Orange,Average
Pearly's Famous Country Cookng,Albany,"814 N Slappey Blvd, Albany, GA 31701",Albany,"Albany, Albany",,Dollar($),No,No,No,No,Orange,Average
Chick-fil-A,Albany,"2703 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany",Fast Food,Dollar($),No,No,No,No,Yellow,Good
Guang Zhou Chinese Restaurant,Albany,"1214 N Westover Blvd, Albany, GA 31707",Albany,"Albany, Albany","Asian, Chinese, Vegetarian",Dollar($),No,No,No,No,Yellow,Good
Harvest Moon,Albany,"2347 Dawson Road, Albany, GA 31707",Albany,"Albany, Albany","Pizza, Bar Food, Sandwich",Dollar($),No,No,No,No,Yellow,Good
Henry Campbell's Steakhouse,Albany,"629 N. Westover Blvd, Albany, GA 31707",Albany,"Albany, Albany","Steak, Tapas, Bar Food",Dollar($),No,No,No,No,Yellow,Good
Hong Kong Cafe,Albany,"2700 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany","Chinese, Seafood, Vegetarian",Dollar($),No,No,No,No,Yellow,Good
House of China Restaurant II,Albany,"2526 Dawson Rd Ste A, Albany, GA 31707",Albany,"Albany, Albany",Chinese,Dollar($),No,No,No,No,Yellow,Good
Jimmie's Hot Dogs,Albany,"204 S Jackson St, Albany, GA 31701",Albany,"Albany, Albany",,Dollar($),No,No,No,No,Yellow,Good
Locos Grill & Pub,Albany,"547 N Westover Blvd, Albany, GA 31707",Albany,"Albany, Albany","American, Burger, Sandwich",Dollar($),No,No,No,No,Yellow,Good
Longhorn Steakhouse,Albany,"2733 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany","American, Steak",Dollar($),No,No,No,No,Yellow,Good
Mikata Japanese Steakhouse,Albany,"2610 Dawson Rd, Albany, GA 31707",Albany,"Albany, Albany","Japanese, Steak, Sushi",Dollar($),No,No,No,No,Yellow,Good
Shogun Japanese Steak House,Albany,"629 N Westover Blvd, Albany, GA 31707",Albany,"Albany, Albany","Japanese, Steak, Sushi",Dollar($),No,No,No,No,Yellow,Good
The Catch Seafood Room & Oyster Bar,Albany,"2332 Whispering Pines Road, Albany, GA 31707",Albany,"Albany, Albany","Seafood, Tapas, Bar Food",Dollar($),No,No,No,No,Yellow,Good
Villa Gargano,Albany,"1604 N Slappey Blvd, Albany, GA 31701",Albany,"Albany, Albany","Italian, Pizza",Dollar($),No,No,No,No,Yellow,Good
3 Squares Diner,Albany,"202 W Franklin St, Sylvester, GA 31791",Sylvester,"Sylvester, Albany","American, Breakfast, Diner",Dollar($),No,No,No,No,Orange,Average
Whitebull Hotel,Armidale,"117 Marsh St, Armidale, NSW",Armidale,"Armidale, Armidale","Bar Food, Steak",Dollar($),No,No,No,No,Yellow,Good
Last Resort Grill,Athens,"184 W Clayton St, Athens, GA 30601",Athens,"Athens, Athens","American, Southern, Southwestern",Dollar($),No,No,No,No,Dark Green,Excellent
Mama's Boy Restaurant,Athens,"197 Oak St, GA 30601",Athens,"Athens, Athens",Southern,Dollar($),No,No,No,No,Dark Green,Excellent
Sr. Sol 1,Athens,"175 Tallassee Rd, Athens, GA 30606",Athens,"Athens, Athens",Mexican,Dollar($),No,No,No,No,Dark Green,Excellent
Choo Choo Eastside,Athens,"1055 Gaines School Rd Ste 100, Athens, GA 30605",Athens,"Athens, Athens","Japanese, Korean",Dollar($),No,No,No,No,Yellow,Good
The Grill,Athens,"171 College Ave, Athens, GA 30601",Athens,"Athens, Athens","Breakfast, Burger, Sandwich",Dollar($),No,No,No,No,Yellow,Good
Big City Bread Cafe,Athens,"393 N Finley St, Athens, GA 30601",Athens,"Athens, Athens","Breakfast, Sandwich",Dollar($),No,No,No,No,Green,Very Good
Clocked,Athens,"259 W Washington St, Athens, GA 30601",Athens,"Athens, Athens","American, Burger, Sandwich",Dollar($),No,No,No,No,Green,Very Good
DePalma's Italian Cafe - Downtown,Athens,"401 E Broad St, Athens, GA 30601",Athens,"Athens, Athens","American, Italian, Pizza",Dollar($),No,No,No,No,Green,Very Good
DePalma's Italian Cafe - East Side,Athens,"1965 Barnett Shoals Rd, Athens, GA 30605",Athens,"Athens, Athens","American, Italian, Pizza",Dollar($),No,No,No,No,Green,Very Good
Five & Ten,Athens,"1073 South Milledge Ave, Athens, GA 30605",Athens,"Athens, Athens",American,Dollar($),No,No,No,No,Green,Very Good
Grit,Athens,"199 Prince Ave, Athens, GA 30601",Athens,"Athens, Athens","International, Southern, Vegetarian",Dollar($),No,No,No,No,Green,Very Good
Ike & Jane,Athens,"1307 Prince Ave, Athens, GA 30606",Athens,"Athens, Athens",Sandwich,Dollar($),No,No,No,No,Green,Very Good
La Dolce Vita Ristorante,Athens,"323 E Broad St, Athens, GA 30601",Athens,"Athens, Athens",Italian,Dollar($),No,No,No,No,Green,Very Good
Shokitini,Athens,"251 W Clayton St, Athens, GA 30601",Athens,"Athens, Athens","Asian, Japanese, Sushi",Dollar($),No,No,No,No,Green,Very Good
Taqueria Del Sol,Athens,"334 Prince Ave, Athens, GA 30601",Athens,"Athens, Athens","Mexican, Spanish",Dollar($),No,No,No,No,Green,Very Good
The National,Athens,"232 W. Hancock Ave., Athens, GA 30601",Athens,"Athens, Athens","International, Southern",Dollar($),No,No,No,No,Green,Very Good
